              "Lieferantennummer" ;                          "70500" ;                       "70501" ; 
                     "Firmenname" ;             "Food-Lieferservice" ;                            "" ; 
                   "Steuernummer" ;                     "07876/5432" ;                  "07876/2345" ; 
                "Umsatzsteuer ID" ;                    "DE987654321" ;                 "DE678954321" ; 
                         "Anrede" ;                               "" ;                        "Herr" ; 
                        "Vorname" ;                               "" ;                        "Hans" ; 
                       "Nachname" ;                               "" ;              "Maurer-Schicht" ; 
                          "Notiz" ; "Stet clita kasd gubergren, ..." ; "Stet clita kasd gubergren, " ; 
      "Straße (Rechnungsadresse)" ;                               "" ;                            "" ; 
"Adresszusatz (Rechnungsadresse)" ;                               "" ;                            "" ; 
         "Ort (Rechnungsadresse)" ;                               "" ;                            "" ; 
         "PLZ (Rechnungsadresse)" ;                               "" ;                            "" ; 
        "Land (Rechnungsadresse)" ;                               "" ;                            "" ; 
         "Straße (Lieferadresse)" ;                  "Musterstr. 99" ;             "Beispielstr. 99" ; 
   "Adresszusatz (Lieferadresse)" ;                               "" ;                            "" ; 
            "Ort (Lieferadresse)" ;                           "Köln" ;                       "Mainz" ; 
            "PLZ (Lieferadresse)" ;                          "50667" ;                       "50667" ; 
           "Land (Lieferadresse)" ;                             "DE" ;                          "DE" ; 
                       "Bankname" ;                       "ING-DiBa" ;                    "ING-DiBa" ; 
                   "Kontoinhaber" ;                 "Michael Baumer" ;         "Hans Maurer-Schicht" ; 
                           "IBAN" ;         "DE12500105170648489890" ;      "DE12500105170648489890" ; 
                            "BIC" ;                    "INGDDEFFXXX" ;                 "INGDDEFFXXX" ; 
       "Anrede (Ansprechpartner)" ;                           "Herr" ;                        "Herr" ; 
      "Vorname (Ansprechpartner)" ;                        "Meinolf" ;                      "Rudolf" ; 
     "Nachname (Ansprechpartner)" ;                       "Bumerang" ;                      "Eggora" ; 
    "Rufnummer (Ansprechpartner)" ;                   "0221/ 123456" ;                "0221/ 123456" ; 
       "E-Mail (Ansprechpartner)" ;            "info@musterfirma.de" ;      "service@musterfirma.de" ; 
              "Mobil (Rufnummer)" ;                               "" ;                            "" ; 
                "Fax (Rufnummer)" ;                               "" ;                            "" ; 
